Дискретная математика, лекция;1
Программирование C++, лекция;2
Информатика, лекция;3
Математический анализ, лекция;4
Траектория 4 (B2-В2+). Английский язык, практическое занятие_x000d_ Подгруппа 2;5
Основы российской государственности, лекция;6
Английский язык. Входное тестирование., практическое занятие;7
Алгебра, лекция;8
Алгебра, практическое занятие;9
Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;10
Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 4;11
Русский язык как иностранный, практическое занятие;1
Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;2
Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;3
Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;4
Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;5
Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 5;6
Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;7
